"","id","nr"
"1","Ibrahim",1
"2","Isha",2
"3","Jacobo",3
"4","Julia",4
"5","Kinshasa",5
"6","Kuba",6
"7","Mbeli",7
"8","Pemba",8
"9","Shogun",9
"10","Sumatra",10
"11","Uapaca",11
"12","Woodstock",12
"13","Athos",13
"14","Elisa",14
"15","Fatima",15
"16","Fredy",16
"17","Indira",17
"18","Pola",18
"19","Poseidon",19
"20","Richelieu",20
"21","Rwenzori",21
"22","Wandy",22
"23","Willy",23
"24","Yeda",24
"25","Amboseli",25
"26","Bako",26
"27","Balancan",27
"28","Budongo",28
"29","Cayo",29
"30","Curu",30
"31","Fantom",31
"32","Fongoli",32
"33","Gombe",33
"34","Kakamega",34
"35","Kala",35
"36","Lasselva",36
"37","Lomas",37
"38","Lope",38
"39","Mahale",39
"40","Moremi",40
"41","Ndoki",41
"42","Odzala",42
"43","Okavango",43
"44","Sonso",44
"45","Tanjung",45
"46","Yakushima",46
"47","Kibale",47
